"Rank
","Account name
","Followers(millions)
","Profession
","Country
"
"Facebook
","214
","Social media
"," USA
",
"Samsung
","162
","Product and services
"," KOR
",
"Cristiano Ronaldo
","122
","Football Player
"," POR
",
"Real Madrid C.F.
","110
","Football club
"," ESP
",
"Coca-Cola
","107
","Product and services
"," USA
",
"FC Barcelona
","103
","Football club
"," ESP
",
"Shakira
","101
","Musician
"," COL
",
"Vin Diesel
","97
","Actor
"," USA
",
"Tasty
","97
","Internet media
"," USA
",
"Lionel Messi
","90
","Football Player
"," ARG
",
"Mr. Bean
","88
","Public figure
"," UK
",
"Eminem
","87
","Musician
"," USA
",
"YouTube
","83
","Product and services
"," USA
",
"McDonald's
","79
","Product and services
"," USA
",
"Rihanna
","79
","Musician
"," BAR
",
"Will Smith
","77
","Actor
"," USA
",
"Justin Bieber
","76
","Musician
"," CAN
",
"China Daily
","84
","Newspaper
"," CHN
",
"Manchester United
","73
","Football club
"," UK
",
"Harry Potter
","72
","Fictional Character
"," UK
",
"Michael Jackson
","72
","Musician
"," USA
",
"Taylor Swift
","71
","Musician
"," USA
",
"Bob Marley
","70
","Musician
"," JAM
",
"Katy Perry
","67
","Musician
"," USA
",
"Adele
","62
","Musician
"," UK
",
,,,,
